region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,class
14,34495,2012,6,2727,4,6,0,108437,5,3,3,7,0,2.0
14,6500,2011,14,1197,4,3,2,106736,5,3,1,8,10,3.0
14,3600,2007,7,2244,4,5,2,138000,5,3,2,8,1,2.0
14,6795,2010,7,3001,4,5,2,123352,5,3,1,1,3,2.0
14,22488,2015,6,763,5,6,2,71624,5,3,2,8,10,3.0
14,23000,2017,10,421,4,3,2,8500,5,3,1,4,8,3.0
14,8895,2011,6,1367,4,5,4,54768,5,3,3,6,10,1.0
14,8000,2004,10,339,4,5,2,63000,5,3,2,13,9,2.0
14,23500,2016,10,2139,4,3,2,5400,5,3,3,12,8,3.0
14,11480,2018,10,1538,5,3,2,36286,5,3,1,2,10,2.0
14,4567,2007,34,957,4,3,2,148868,5,3,1,4,10,2.0
14,8900,2011,6,2921,3,6,2,156000,5,3,3,8,10,2.0
14,16500,2012,26,1924,4,3,2,111136,5,3,3,4,9,2.0
14,6995,2015,10,1534,4,3,2,40556,5,3,1,2,9,1.0
14,5995,2013,10,1536,4,3,2,42565,3,3,1,2,9,2.0
14,5995,2007,6,2680,4,6,2,196380,5,3,3,10,5,2.0
14,6495,2005,27,1633,4,5,2,161627,5,3,2,8,0,3.0
14,4200,2011,10,1276,4,3,2,160772,5,3,1,8,10,3.0
14,3000,2006,18,2788,4,5,2,113819,5,3,2,8,9,1.0
14,2777,1998,21,939,4,6,2,131337,5,3,1,4,3,1.0
14,3750,2000,8,1075,4,6,2,137000,5,3,2,10,0,1.0
14,3995,2002,10,2388,4,3,2,95559,5,3,2,10,10,2.0
14,5995,2011,6,2026,4,3,2,111303,5,3,1,4,10,2.0
14,3995,2008,14,2765,4,3,2,151818,5,3,1,4,5,2.0
14,5295,2009,10,1646,4,5,2,93435,5,3,1,4,10,1.0
14,2995,2000,6,767,4,5,2,186296,5,3,2,12,10,2.0
14,9995,2016,17,2288,4,3,2,101770,5,1,1,8,10,2.0
14,24900,2008,10,2867,4,6,0,101770,5,3,3,7,10,3.0
14,32900,2011,30,109,4,5,0,101770,5,3,3,7,10,2.0
14,24900,2007,30,223,4,5,0,101770,5,3,3,7,8,3.0
14,24900,2013,10,439,4,5,2,101770,5,3,2,4,0,1.0
14,23900,2015,21,2164,4,5,2,101770,5,3,3,8,0,2.0
14,12900,2008,30,12,4,6,2,101770,5,3,2,7,9,1.0
14,32900,2014,10,1376,4,6,2,101770,5,3,3,7,1,2.0
14,2450,2002,22,641,3,3,2,160000,5,3,2,10,10,3.0
14,26000,2004,10,369,3,5,0,69460,5,3,3,10,10,1.0
14,9895,2008,6,2716,3,6,2,205805,5,3,3,10,10,2.0
14,13895,2005,6,2716,4,6,0,97347,5,3,2,10,10,3.0
14,10795,2008,10,1376,3,6,2,93759,5,3,3,10,10,1.0
14,13500,2010,8,812,4,5,2,88892,5,3,2,12,10,2.0
14,16000,2001,10,1520,4,6,0,36000,5,2,3,8,10,2.0
14,8895,2007,10,1433,3,6,2,123283,5,3,3,10,10,3.0
14,7995,2011,13,861,3,3,4,28033,5,3,1,4,10,3.0
14,9995,2011,6,2916,3,6,2,171089,5,3,3,8,10,1.0
14,18495,2009,6,2702,3,6,0,73268,5,3,2,10,10,3.0
14,9495,2008,6,2716,3,6,2,205805,5,3,3,10,10,1.0
14,7295,2009,6,915,3,4,2,53577,5,3,2,10,10,3.0
14,8795,2013,18,2199,4,3,3,110842,5,3,1,4,9,3.0
14,15000,2017,10,2142,3,3,2,71000,5,3,2,13,0,3.0
14,15695,2016,2,481,4,5,2,31863,5,3,1,4,10,1.0
14,20995,2016,33,2207,4,5,2,35359,5,3,3,8,10,3.0
14,8995,2018,27,3139,4,5,2,48914,5,3,1,4,10,2.0
14,14500,2018,14,2765,4,5,2,12803,5,3,1,4,10,2.0
14,11500,2017,6,2025,4,5,2,30117,5,3,1,4,10,3.0
14,18495,2018,18,2582,4,5,2,43043,5,3,1,8,10,3.0
14,12500,2017,10,1638,4,5,2,34814,5,3,1,4,10,3.0
14,11500,2008,6,618,4,6,2,136000,5,3,2,10,0,3.0
14,19900,2016,8,825,4,6,2,101770,5,3,2,4,5,2.0
14,13900,2005,6,965,4,6,2,101770,5,3,2,12,1,2.0
14,34900,2014,11,2651,4,6,0,101770,5,3,3,7,10,1.0
14,19900,2014,3,318,4,6,2,101770,5,3,2,4,10,2.0
14,11900,2010,10,1311,4,6,2,101770,5,3,3,8,0,2.0
14,23900,2011,10,2865,4,6,0,101770,5,3,3,7,10,3.0
14,31900,2015,10,2866,4,6,2,101770,5,3,3,7,10,3.0
14,22900,2015,10,2139,4,6,2,101770,5,3,2,12,5,3.0
14,35900,2012,10,2866,4,6,0,101770,5,3,3,7,8,3.0
14,34900,2016,20,1764,4,6,2,101770,5,3,3,8,5,2.0
14,8900,2012,13,546,3,5,2,101770,5,3,3,12,0,3.0
14,17900,2014,10,1188,4,5,2,102000,4,3,1,8,8,3.0
14,18295,2016,33,3199,4,3,2,50824,2,2,3,4,10,3.0
14,8795,2012,35,2249,4,3,0,94921,5,3,1,4,1,1.0
14,10795,2014,35,2249,4,3,0,79187,5,3,1,4,9,3.0
14,3200,2005,10,479,3,5,4,101770,3,3,3,8,10,3.0
14,19495,2014,6,749,4,6,2,78954,5,3,2,1,10,2.0
14,16695,2008,34,1551,4,5,2,163658,5,3,3,8,11,2.0
14,6795,2010,35,2249,4,3,2,74569,5,3,1,4,3,1.0
14,14795,2008,20,1763,4,6,2,164666,5,3,3,8,10,2.0
14,23295,2013,20,1752,4,5,2,63842,5,3,2,4,9,1.0
14,12495,2015,7,3001,4,5,2,87450,5,3,1,1,3,1.0
14,12495,2015,35,1710,4,3,0,75915,5,3,1,1,10,2.0
14,9999,2012,35,1710,4,3,0,69502,5,2,1,1,1,3.0
14,34488,2016,6,2698,4,5,2,51021,5,3,3,8,0,3.0
14,6199,2006,23,674,4,5,2,90478,5,3,3,4,0,2.0
14,13750,2004,30,12,4,6,2,71000,5,3,2,7,11,1.0
14,26000,2015,27,2179,4,5,2,83000,5,3,3,8,10,2.0
14,12798,2017,6,2026,4,5,2,44890,5,3,1,8,0,2.0
14,34900,2014,11,2651,4,6,0,101770,5,3,3,7,10,1.0
14,27000,2015,34,3081,4,6,2,80000,5,3,3,10,10,1.0
14,24595,2008,30,235,4,5,0,139400,5,3,3,7,10,2.0
14,7995,2005,10,1376,4,6,2,151000,5,3,3,10,10,1.0
14,9650,2009,23,673,4,5,2,90000,5,3,2,4,1,3.0
14,4250,2004,10,1311,4,6,2,203972,5,3,3,8,9,1.0
14,15400,2009,10,1384,4,6,2,132000,5,3,3,7,10,2.0
14,10800,2013,0,3061,4,3,2,80300,5,3,1,4,0,3.0
14,5900,2010,25,947,4,3,2,117000,5,3,1,13,10,1.0
14,14495,2012,17,1730,4,5,4,103117,5,3,3,8,3,3.0
14,27900,2014,3,3236,4,5,2,101770,5,3,3,8,0,1.0
14,11900,2010,10,1311,4,6,2,101770,5,3,3,8,0,3.0
14,23900,2011,10,2865,4,6,0,101770,5,3,3,7,10,3.0
14,31900,2015,10,2866,4,6,2,101770,5,3,3,7,10,2.0
14,21900,2014,30,109,4,6,2,101770,5,2,3,7,10,2.0
14,25900,2016,30,12,4,6,2,101770,5,3,3,7,1,3.0
14,17900,2008,34,2877,4,5,2,101770,5,3,3,7,8,3.0
14,35900,2012,10,2866,4,6,0,101770,5,3,3,7,8,2.0
14,19900,2015,10,1328,4,5,2,101770,5,3,1,8,10,2.0
14,29900,2012,30,223,4,5,0,101770,5,3,3,7,0,2.0
14,29900,2016,23,1701,4,5,2,101770,5,3,3,8,10,2.0
14,24900,2013,5,1270,4,6,2,101770,5,3,3,8,0,1.0
14,7495,2012,14,2765,4,3,3,150282,5,3,1,4,3,1.0
14,12875,2011,10,465,3,5,2,96200,5,3,3,10,1,3.0
14,9995,2012,17,1961,4,5,2,106169,5,3,3,8,9,3.0
14,5000,2002,33,1821,4,3,2,181072,5,2,3,2,8,3.0
14,16995,2015,36,3242,4,3,2,69699,5,3,1,8,3,3.0
14,3995,1998,6,608,4,5,2,123844,5,3,2,8,10,1.0
14,11495,2014,35,2249,4,5,0,54607,5,3,1,4,10,3.0
14,32595,2018,11,790,4,5,0,24215,5,3,3,7,1,3.0
